scenario,policy_a,policy_b,n_jobs,n_started_a,n_started_b,n_common,n_only_a,n_only_b,started_frac_a_pct,started_frac_b_pct,mean_wait_a_published,mean_wait_b_published,mean_wait_a_common,mean_wait_b_common,mean_wait_a_lowerbound,mean_wait_b_lowerbound,improvement_pct_published,improvement_pct_common,improvement_pct_lowerbound,selection_gap_pp,note
in_dist,FIFO,PROACTIVE,110.0,110.0,110.0,110.0,0.0,0.0,100.0,100.0,15.94818181818182,14.889090909090907,15.94818181818182,14.889090909090907,15.94818181818182,14.889090909090907,6.6408254004446405,6.6408254004446405,6.6408254004446405,0.0,"no censoring: every job starts under both policies, common set = full set, published improvement is unbiased; with nothing censored the lower-bound means are exact, so improvement_pct_lowerbound equals the published improvement here"
in_dist,FIFO,UCB,110.0,110.0,110.0,110.0,0.0,0.0,100.0,100.0,15.94818181818182,14.862727272727273,15.94818181818182,14.862727272727273,15.94818181818182,14.862727272727273,6.806133500541529,6.806133500541529,6.806133500541529,0.0,"no censoring: every job starts under both policies, common set = full set, published improvement is unbiased; with nothing censored the lower-bound means are exact, so improvement_pct_lowerbound equals the published improvement here"
in_dist,FIFO,GUARDED,110.0,110.0,110.0,110.0,0.0,0.0,100.0,100.0,15.94818181818182,14.917272727272726,15.94818181818182,14.917272727272726,15.94818181818182,14.917272727272726,6.464116741720357,6.464116741720357,6.464116741720357,0.0,"no censoring: every job starts under both policies, common set = full set, published improvement is unbiased; with nothing censored the lower-bound means are exact, so improvement_pct_lowerbound equals the published improvement here"
in_dist,PROACTIVE,UCB,110.0,110.0,110.0,110.0,0.0,0.0,100.0,100.0,14.889090909090907,14.862727272727273,14.889090909090907,14.862727272727273,14.889090909090907,14.862727272727273,0.17706679692268334,0.17706679692268334,0.17706679692268334,0.0,"no censoring: every job starts under both policies, common set = full set, published improvement is unbiased; with nothing censored the lower-bound means are exact, so improvement_pct_lowerbound equals the published improvement here"
in_dist,PROACTIVE,GUARDED,110.0,110.0,110.0,110.0,0.0,0.0,100.0,100.0,14.889090909090907,14.917272727272726,14.889090909090907,14.917272727272726,14.889090909090907,14.917272727272726,-0.18927830015875638,-0.18927830015875638,-0.18927830015875638,0.0,"no censoring: every job starts under both policies, common set = full set, published improvement is unbiased; with nothing censored the lower-bound means are exact, so improvement_pct_lowerbound equals the published improvement here"
in_dist,UCB,GUARDED,110.0,110.0,110.0,110.0,0.0,0.0,100.0,100.0,14.862727272727273,14.917272727272726,14.862727272727273,14.917272727272726,14.862727272727273,14.917272727272726,-0.36699492323688415,-0.36699492323688415,-0.36699492323688415,0.0,"no censoring: every job starts under both policies, common set = full set, published improvement is unbiased; with nothing censored the lower-bound means are exact, so improvement_pct_lowerbound equals the published improvement here"
arr0.5_nodes4,FIFO,PROACTIVE,55.0,55.0,55.0,55.0,0.0,0.0,100.0,100.0,17.970909090909092,18.332727272727272,17.970909090909092,18.332727272727272,17.970909090909092,18.332727272727272,-2.013354917037624,-2.013354917037624,-2.013354917037624,0.0,"no censoring: every job starts under both policies, common set = full set, published improvement is unbiased; with nothing censored the lower-bound means are exact, so improvement_pct_lowerbound equals the published improvement here"
arr0.5_nodes4,FIFO,UCB,55.0,55.0,55.0,55.0,0.0,0.0,100.0,100.0,17.970909090909092,18.492727272727272,17.970909090909092,18.492727272727272,17.970909090909092,18.492727272727272,-2.9036827195467305,-2.9036827195467305,-2.9036827195467305,0.0,"no censoring: every job starts under both policies, common set = full set, published improvement is unbiased; with nothing censored the lower-bound means are exact, so improvement_pct_lowerbound equals the published improvement here"
arr0.5_nodes4,FIFO,GUARDED,55.0,55.0,55.0,55.0,0.0,0.0,100.0,100.0,17.970909090909092,18.838181818181816,17.970909090909092,18.838181818181816,17.970909090909092,18.838181818181816,-4.825981384055018,-4.825981384055018,-4.825981384055018,0.0,"no censoring: every job starts under both policies, common set = full set, published improvement is unbiased; with nothing censored the lower-bound means are exact, so improvement_pct_lowerbound equals the published improvement here"
arr0.5_nodes4,PROACTIVE,UCB,55.0,55.0,55.0,55.0,0.0,0.0,100.0,100.0,18.332727272727272,18.492727272727272,18.332727272727272,18.492727272727272,18.332727272727272,18.492727272727272,-0.8727561241693949,-0.8727561241693949,-0.8727561241693949,0.0,"no censoring: every job starts under both policies, common set = full set, published improvement is unbiased; with nothing censored the lower-bound means are exact, so improvement_pct_lowerbound equals the published improvement here"
